method,stage,run_a,run_b,n_painted,dz_wls,dx_wls,n_wls,dz_ransac,dx_ransac,n_ransac
backprop,Pushing,1,3,40507,-1.9173063899469212,-0.3278804509877235,700,-1.9173063899469212,-0.3278804509877235,700
gazdag,Pushing,1,3,3739,-1.8831758775423386,-0.2189143368448549,541,-1.885512200166041,-0.21928174099682973,527
kirchhoff_bp,Pushing,1,3,5089,-1.7110517379108818,-0.24522266229667078,462,-1.7110517379108818,-0.24522266229667078,462
backprop,Chasing,3,8,61487,-1.2967988539203466,-0.13244148334971773,968,-1.2547502190788158,-0.11173607127274651,648
gazdag,Chasing,3,8,9610,-1.342146591531989,-0.052862816988653805,802,-1.3519775161983492,-0.05425234396928058,665
kirchhoff_bp,Chasing,3,8,11003,-1.076309757019575,-0.10579890352479013,763,-0.9854482478194077,-0.11277236924709721,512
backprop,Waiting,8,20,48152,0.5466299852789883,0.09757689720719784,1137,0.5452349335131178,0.09717393268475363,1024
gazdag,Waiting,8,20,6457,0.6618505102787486,0.020980167968777552,618,0.6620198617514959,0.02081507291904293,616
kirchhoff_bp,Waiting,8,20,6722,0.6115850371297399,0.004803614629314182,606,0.6115850371297399,0.004803614629314182,606
backprop,Pulling,20,38,46171,0.8272738157913334,0.3499080816940939,955,0.8299226846013067,0.35036268942114773,586
gazdag,Pulling,20,38,7413,0.4875889040914479,0.10607177070110518,735,0.4588029868451261,0.10244709247258008,492
kirchhoff_bp,Pulling,20,38,8250,0.097404231320757,0.03744225658070896,1313,0.012419815159225578,0.03411075157232967,892
