method,stage,pair,domain,dz_wls,dx_wls,dz_ransac,dx_ransac
kirchhoff_bp,Push,"(1, 3)",kspace,1.7275560408395492,-0.20440452303654,1.8620268597962573,-0.26338386266551606
kirchhoff_bp,Push,"(1, 3)",bscan,1.7284231553562648,-0.21867214297022175,1.728422866489807,-0.21867207920486081
kirchhoff_bp,Chase,"(3, 8)",kspace,1.523650106702575,0.22345527325661735,1.5233555160827061,0.2234566194249562
kirchhoff_bp,Chase,"(3, 8)",bscan,1.713142172564886,0.09924760695843157,1.826843813724895,0.14192749525343962
kirchhoff_bp,Wait,"(8, 20)",kspace,-0.304512371072358,0.07676601404225686,-0.30450665892761847,0.076805657200382
kirchhoff_bp,Wait,"(8, 20)",bscan,-0.5911588915904668,0.001359489776369141,-0.5785996049183838,-0.005127610482580161
kirchhoff_bp,Pull,"(20, 38)",kspace,-0.21925773358497233,-0.10845506638530412,-0.21969170341203573,-0.11523532375480447
kirchhoff_bp,Pull,"(20, 38)",bscan,-0.09012908417418779,-0.025032665001080784,0.005144638143940365,-0.03359635574798388
gazdag,Push,"(1, 3)",kspace,1.4231143876412367,-0.11655852338350695,1.4919831126019683,-0.16148565415227428
gazdag,Push,"(1, 3)",bscan,1.7209675766704298,-0.2187335729438663,1.7209670592804007,-0.2187335530154091
gazdag,Chase,"(3, 8)",kspace,1.4956862363472503,0.063848526020407,1.4956642753136942,0.06384916304337457
gazdag,Chase,"(3, 8)",bscan,1.6017642772902023,0.0111727017812423,1.5916225253180816,0.013056428742909687
gazdag,Wait,"(8, 20)",kspace,-0.6281078825269405,0.011635849742911694,-0.6281078825269405,0.011635849742911694
gazdag,Wait,"(8, 20)",bscan,-0.810431569090903,0.023883427691853393,-0.8177185312414107,0.025283412113812603
gazdag,Pull,"(20, 38)",kspace,-0.10068850007891345,0.07362724589819343,-0.06522092821714359,0.042849772456573405
gazdag,Pull,"(20, 38)",bscan,-0.5657683731026565,0.24052583535000066,-0.5570682174021213,0.2417616023252128
backprop,Push,"(1, 3)",kspace,1.985671444595691,-0.23791996483148214,2.0776477678784357,-0.3374331413193018
backprop,Push,"(1, 3)",bscan,1.8491013658269886,-0.23273565227004733,1.8491013801297445,-0.23273565083698544
backprop,Chase,"(3, 8)",kspace,1.5750627299873712,0.07937007843721555,1.5750614843812432,0.07937023443522762
backprop,Chase,"(3, 8)",bscan,1.704369854792612,-0.004336773450918374,1.199723071689904,-0.045475891472347985
backprop,Wait,"(8, 20)",kspace,-0.27009383139416304,0.026951382436605595,-0.27004012321546095,0.026811778817861807
backprop,Wait,"(8, 20)",bscan,-0.5200108778095415,0.026239828039735555,-0.49727255466568415,0.024741197031645304
backprop,Pull,"(20, 38)",kspace,-0.2597719235962037,-0.21590309920239006,-0.2675144416577494,-0.22431909960218419
backprop,Pull,"(20, 38)",bscan,-0.4968953103967826,0.2744879224449209,0.27215416439222634,0.30081614230372233
